"titles","texts","time.stamp","pushes"
"[問卦] 高雄人會怎麼對抗颱風或是淹水呢？ ","
高雄是港都

也是前第二大都市

聽說那邊的人都比較海派

要是遇到颱風或是甚至有淹水的狀況

不知道會怎麼處理

有沒有高雄人對於颱風的看法的八卦

--
 ","Wed Jul 17 17:38:35 2019 ","→ → 推 → 推 推 推 → → → → → → → → → → 推 推 → 推 推 噓 → 推  "
"[問卦] 有沒有谷歌翻譯的掛 ","
想跟日本友人討論棒球，查了一下讀賣巨人怎麼唸，結果翻譯讓我哭笑不得？有掛嗎？為
什麼會這樣翻譯啊


--
 ","Wed Jul 17 17:38:55 2019 ","推 推 推 推 → → 推 →  "
"Re: [新聞]柯文哲:我恨小英,韓讀的書只夠做北農董事 ","
我說真的

綠色的操作真的漂亮

這兩波聲量操作我給一百分


柯文哲順勢被韓國瑜這種做不好

做不滿的情緒給操作了

柯文哲說真的

我勸你不用選了

你選不上

我明白的說

那種貶低別人在提高自己的方式

韓國瑜用了很多次了

明白說現在沒有機會奏效


我也覺得蔡英文做的不好

可是沒辦法

她下面靠她喝奶的還一堆人

阿貝阿你曾經沒有政黨包袱

所以讓人覺得可貴

可是你不應該討好藍色選票

而去選擇支那

你現在的做法就是打臉作賤自己

你以前對我阿扁好根本是政治目的


沒有做好很多事情不要緊

我們都知道臺北真的不好管理

但是沒有做好事情卻批評別人

那是什麼目的


當阿貝得了政治癌

我現在宣判

已經腦死


--
 ","Wed Jul 17 17:40:09 2019 ","→ → → 推 推 → → 推 推 推 → → → → → 噓 → →  "
"Re: [問卦] 三腳督到底是怎麼督法? ","


安安

這個問題本魯肥一開始也不知道
直到有一次看到電視上有人說
然後看了字幕才曉得的


ㄙㄚˉㄎㄚˉㄉㄨˉ的意思
94三強鼎立的意思

ㄒㄧˋㄎㄚˉㄉㄨˉ的意思
94四強鼎立的意思

幾強鼎立就是幾ㄎㄚˉㄉㄨˉ


閩南語的唸法啦

--
 ","Wed Jul 17 17:40:45 2019 ","推 → → → → → 推  "
"Re: [新聞]柯文哲:我恨小英,韓讀的書只夠做北農董事長 ","
柯看起來還是想合作
這次一定要來個大亂鬥
出來選幫忙瓜分藍票
用自己的方式助攻
不要讓阿共陰謀得逞



--
 ","Wed Jul 17 17:41:18 2019 ","噓 → → 推 → → 推 →  "
"[問卦] 這種女森存在的可能性？ ","

長的正，奶又大

熱愛運動，維持性感好身材

喜歡下廚，煮一手好菜給心上人吃

細心體貼，打理好彼此生活的各個細節

體恤彼此，吃飯出遊都會自掏腰包

隨時都覺得自己的男朋友/老公最帥
極其厭惡肌肉男和洋男
只愛你的東方肥肚肚

會陪你一起看漫畫打電動

晚上在床上也配合度極高
每天都夜夜笙歌爽到不行

這種女森存在的可能性有多高呢？？？

--
沒看過那種東西 我只看熱血jump
 ","Wed Jul 17 17:41:20 2019 ","噓 噓 推 推 噓 → 噓 噓 → 推 推 → 推 推 推 推 → 推 → 噓 → → → → 推 推 推 推 噓 推 推 噓 噓 噓 推 → 推 噓 → 噓 推 → → → 噓 推 → 噓 噓 → → 推 推 → 推 → 噓  "
"[問卦] 機車雙載都沒帶安全帽載妹子邊抽菸的八 ","
yoyo

我成5啦

我剛剛下班看到南部的8+9

載短褲妹子狂飆

又邊抽菸，都沒帶安全帽

到底是帥還是死的快

有沒有八卦





好羨慕人家有妹子喔


--
請支持>/////<






--
 ","Wed Jul 17 17:42:51 2019 ","→ 推 推 推 推 推 → → 推 推  "
"[問卦] 世界盃亞洲區資格賽抽籤 ","

台灣跟 澳洲 約旦 科威特 尼泊爾 同組

這是不是死亡之組啊

感覺一點機會也沒有

可能會全輸

哭QQ



--
 ","Wed Jul 17 17:43:10 2019 ","→ 推 → → → → → 推 → → → → 推 → 推 → → → → 噓 → → → 推 → 推  "
"Re: [新聞]柯文哲:我恨小英,韓讀的書只夠做北農董事長 ","

唉 柯P是真的智商離線了

1. 現實中 誰真的為了認同道歉了? 是我老婆周子瑜喔

   蔡說的是不用跟對岸道歉

   不然是還有誰道過歉了 統促黨有道過歉膩

2. 蔡問你台灣價值是因為當時還在扯要不要白綠合

   當時是這樣

   

   對於「台灣價值」，蔡總統也說，
   如果要「讓我們的基層覺得可以跟柯P在一起」，
   再打一次選戰的話，柯P就必須對台灣價值這件事情再確認

   喔幹, 人家講的是黨內的事情, 人家黨內有他的立場,
   你不講你的立場, 人家怎麼跟你合啊,
   全部亂混在一起談不是傻就是壞


""所有頻道同時開打 = 國家機器修理你""

就是又一個智商離線的發言

如果國家機器可以這樣用

那誰來解釋一下韓天新聞台是怎麼來的

你不過就是同時擋到藍綠兩邊的利益罷了


首先, 葛特曼事件是誰在帶風向, 不用多說吧?
再來, 是誰在賴清德宣布參選時, 站在他身邊?

當然, 總的來說, 百姓可以說都是你民進黨的毛、
蔡英文身為dpp領袖, 要負起最後的政治責任

但你柯p要思維的層級跟百姓一樣嗎,
你怎麼會覺得是蔡英文的毛,
這智商真的off line啊

-----

後面兩岸部分就根本腦被門夾了
不知道在胡說八道什麼
(台灣在上海就七十萬人? 早十年也許有 現在不可能)

只能說
柯p或許真的很清廉勤政愛民
也有他的立場與風範

但至少智商157絕對是虎洨的

--

其實人的智商不會只有一種啦
他能上台大醫科一定是某些智商很高
但最近表現出來 某些智商很低


派姚是三小說法啦... DPP當時還有誰要選?
啊依照機制就只會是姚啊


我是覺得不用
是柯P跟你自己腦補成要的 然後在那邊777777


你管他是什麼

要人家DPP放棄自推人選 那DPP有吃屎價值也能談啊
那是他家自己的事情


真的就是這樣

其實蔡能奪回DPP話語權是因為1124大敗後
又在元旦撿到槍

跟賴同一陣線的那批牛鬼蛇神剛好一波帶走

 ","Wed Jul 17 17:43:32 2019 ","噓 噓 推 推 推 推 噓 → → 推 → → 噓 → 推 → → → 推 → → → → 推 → → → → → → → → → → → 推 → 噓 → → → 噓 → 推 → → → 推 推 → → 推 推 推 → → 噓 推 → 推 推 →  "
"Re: [新聞]柯文哲:我恨小英,韓讀的書只夠做北農董事長 ","
蚵就是一個常常以小人之心度君子之腹的人









這些日子以來，幾乎大家都在容忍他，幫助他

結果總是落一身腥給他酸一頓

這種政治屁孩，大巨蛋這麼簡單的問題，直接解約花個350億爽解

結果到現在還在那邊扭扭捏捏跟遠雄眉來眼去



我搞不懂，這種整天哭哭的人是不是心裡不太健全?

他這麼難搞，我覺得小英是不是要做到退位給他選才滿意阿?





--
 ","Wed Jul 17 17:44:29 2019 ","→ → 推 推 推 推 → → 推 噓 → → 推 噓 噓 推 推 噓 推 → 噓 噓 → 推 推 噓 → 噓 → 推 → 噓 推 推 推 推 → → 推 → → 推 推 噓 推 推 推 推 推 推 推 噓 → 推 推 推 推 推 → 推 → 推 → 噓 推 噓 推 推 推 推 推 推 推 → → → → 推 噓 → → 推 → 噓  "
"Re: [爆卦] 韓粉又崩潰惹 ","
笑死 韓粉不止崩潰
還會自慰
來來來大家看這些投票有什麼意義


到底韓粉嗑了多少
麻煩多給我一點好嗎
笑死

--
 ","Wed Jul 17 17:45:35 2019 ","推 推 推 推 → → → → 推 推 推  "
"Re: [新聞] 曾說韓國瑜書讀很多　柯文哲：只夠做北農 ","
師傅是不是很享受媒體光環阿?

看看賴跟郭一結束初選確定沒戲後

就全變隱形人 也沒人關注他們在幹啥

柯接受訪問有8.9成內容都跟市政無關

這樣對台北真的是好事嗎?

要選就大方點 不要扭扭捏捏玩被動2.0

不選就就快宣布 認真拼市政對選民交待

現在就要換過來反觀你家隔壁的侯友宜

認真又低調 兩黨初選時也不會放一堆屁話

明明看你想選得要死 是不是權力中毒症阿?

--
 ","Wed Jul 17 17:46:51 2019 ","推 → 推 → → → 推 推 → → → → 噓 推 → 推 → → 推 → 推 → 推 推  "
"[問卦] 低俗梗的市場接受度 ","
乳題
低俗是指性方面的

最近在學影片剪輯跟做圖
滿腦子的黃色想法，想運用在上面

行銷的角度來看，廣告中放入低俗梗
會增加觀眾的印象還是會被唾棄?




--
 ","Wed Jul 17 17:47:18 2019 ","噓 噓 噓 → → 推 → → → 推 → → → 推  "
"[問卦] 本我自我超我怎摸分 ","
就4吼
剛剛在看指考歷屆
就發現吼
本我
自我
超我
好難分喔
所以啊
我同學教我說吼
本我 就4發大財
阿那個超我 就4台毒辣
不過那個自我……他沉默了一下
然後科科了一下

話說這樣分對ㄇ

----
Sent from 

--
 ","Wed Jul 17 17:47:50 2019 ","噓 → 噓 → 噓 → 噓 → 噓 噓 推 推 推 推 →  "
"Re: [問卦] 跟物奧天才相處是什麼感覺 ","

我有一個朋友
也是物理學家
最近剛得諾貝爾獎
他周圍都是一堆天才
他也看不起這些人
給你參考

--
 ","Wed Jul 17 17:25:43 2019 ","噓 → 噓 推  "
"[新聞] 還幫韓國瑜打選戰？ 王金平：過去是支持B ","還幫韓國瑜打選戰？ 王金平：過去是支持他當好市長

新頭殼 黃建豪

國民黨確定推派高雄市長韓國瑜參選總統後，昨仍表態「世事如棋、乾坤莫測，但阮會堅持走下去」的前立法院長王金平，今（17日）受訪，將安排時間與韓國瑜見面，但強調不會去當副手。至於會不會幫韓操盤選舉？王金平回應，他過去是支持韓國瑜選市長，支持他當好市長。

王金平今下午出席全國商業總會的金舶獎頒獎典禮，會前受訪時，問及是否會與韓國瑜見面，並幫助韓選總統一事。王金平表示，應該應該會安排時間跟韓國瑜見面。

但會不會擔任韓國瑜的競選總幹事？或再次幫韓操盤選舉？王金平稱，這是假設性問題。王雖強調，「國民黨總是一定要團結。」但王更語帶保留稱，他過去是支持韓國瑜選市長，支持他當好市長，謝謝。




都什麼情況還要我幫你選總統？
我記得我當初幫你選的是市長喔～

怎麼變市長了，
再幫你選下去會發生什麼事？
-----
Sent from JPTT on my iPhone

--
對不起啦J自動吃字了啦
對不起啦
嗚嗚誰知道發出去只剩下心得啦
別醬，勿忘世上苦人多
人家畢業很久了餒
嗚嗚不要這樣嘛
手機改不了啊啊啊
 ","Wed Jul 17 17:25:55 2019 ","→ 推 噓 噓 推 推 → 噓 噓 噓 → 推 推 噓 → → → → → → → →  "
"[問卦] 暑假放颱風假是什麼感覺？ ","
如題

拎北已經過了暑假的年齡了

還要當厭世的上班族

好奇問一下小屁孩們

暑假放颱風假是什麼感覺

有沒有八卦

--
 ","Wed Jul 17 17:26:30 2019 ","→ → → → → 推 噓 → 噓 → 推 → 推 推 推 推 → 推 →  "
"[新聞] 快訊／風力雨量「全沒達標」北北基：正常 ","
1.媒體來源:

Ettoday新聞雲


2.記者署名

記者黃君瀚／綜合報導

3.完整新聞標題:

快訊／風力雨量「全沒達標」　北北基：明天上午正常上班上課


4.完整新聞內文:

記者黃君瀚／綜合報導

輕度颱風丹娜絲「走向」持續往東修正，接觸陸地機率大降，新北市府今（17）日下午指
出，根據中央氣象局預報資料，各區雨量、風力均未達停班、停課標準，明（18）日上午
正常上班上課，至於明日下午是否停班、停課，將視颱風動態及風、雨勢決定。

氣象局指出，未來丹娜絲今晚可能會「合體」東邊雲系，未來路徑可能會再往東做更大修
正，除颱風中心登陸機率大降，連暴風圈也可能不會接觸陸地。不過，菲律賓西邊的低壓
持續有發展跡象，明天可能增強成熱帶性低氣壓，未來若往西移動北上，將為南部地區帶
來可觀降雨。

根據《天然災害停止上班及上課作業辦法》標準，若颱風暴風半徑於4小時內可能經過之
地區，其平均風力可達7級以上或陣風可達10級以上時，或未來24小時內雨量達350毫米，
得發布停止上班及上課，實際「災防假」宣布與否，則以各縣市權責機關發布為準。



5.完整新聞連結 (或短網址):




6.備註:

這次北北基倒是發布的挺快吼= =

--
 ","Wed Jul 17 17:27:15 2019 ","推 推 → → → → → → 噓 → → 推 噓 推 → 推 推 → 推 → 推 噓 推 推 → 推 推 推 推 推 推 → 推 → → 推 → 推 推 推 → 推 → 推 → 推 推 → 推 推 → 推 推 → 推 推 推 噓 噓 噓 噓 → → → → 噓 噓 → 噓 推 推 推 推 → → 噓 推 推 推 推 推 噓 推 噓 推 → 推 推 推 推 推 噓 推 → 推 推 噓 → → → 推 → → → → 推 推 推 → → → → 推 推 推 推 推 噓 噓 推 推 推 推 推 推 → 推 推 推 推 推 → → → 推 推 推 推 推 推 推 推 → → → → 推 推 推 → 噓 推 推 推 噓 推 推 噓 推 噓 → → → → 推 → 噓  "
"[問卦] 宅宅睪丸很大有加分嗎? ","
小弟很多優點，只是宅了點並不肥。

特別是有睪丸特別大，又稱金玉，一顆抵十顆；陰囊、儲精囊都飽滿漲漲的，量又大隨時
可以餵飽好幾個人。

可以借你各位嘴巴含，或是彈一彈...
食飯時間特別發文，我知道板主很愛這味。

請問宅宅睪丸很大有加分嗎?

--
 ","Wed Jul 17 17:27:39 2019 ","→ → → 噓 → 推 噓 噓 推 → → → 推 → → 推 噓 → 噓 → → → → 推 → 推 → 噓 噓 → → 推  "
"[新聞] 朱立倫列不分區爭國會龍頭？ 知情人士駁 ","
1.媒體來源:

ETtoday

2.記者署名

記者羅婉庭／台北報導

3.完整新聞標題:

朱立倫列不分區爭國會龍頭？ 知情人士駁：胡扯！輔選立委與爭職位不相干

4.完整新聞內文:

針對外傳前新北市長朱立倫不排斥輔選黨籍立委，甚至提到可將他列為不分區安全名單邊
緣，藉以衝高立委席次，力拼國會過半或爭國會龍頭，引發議論。對此，知情人士表示，
空穴來風、純屬外界臆測，幫忙輔選立委與爭職位根本不相干。

據知情人士指出，朱立倫確實願意幫忙輔選立委，多位要參選立委者，跟朱立倫也都熟識
，交情也很深，像是林奕華、柯志恩等，但幫忙輔選跟未來要爭立院任何職務，根本不相
干，刻意導向要幫忙的人就是要位置，「這樣未來誰還敢幫忙？國民黨千萬不要再用這種
過去的思維模式想事情，不然喊團結又有何意義？」。

中常委李昭平準備在17日下午國民黨中常會提案，建議黨中央提名總統初選四位參選同志
，列入不分區立委名單，他表示，這是在初選過後，許多基層憂心黨內團結問題所提出的
建議，他是向黨中央提案建議而已。

另外，朱立倫17日上午一一親自致電主跑他相關新聞的媒體記者，直接表達感謝之意；有
媒體把握機會，詢問未來動向，朱立倫只淡淡地笑說，我要先謝謝每一位幫忙過的人，然
後帶辦公室所有幕僚出去放鬆，好好玩個幾天，大家這陣子都辛苦了；他說，「還要多陪
陪家人，這應該是我太太最開心的事，我兒子放暑假回來，之前忙初選也都沒太多時間陪
他」。

至於外界紛紛主動幫他找工作，他很感謝，但這些都不是事實，目前沒有任何具體規劃。
朱立倫初選結束後桃園、台北兩頭跑，回家鄉陪伴年邁<U+855A>父親；下週則安排帶夫人、孩子
以及幕僚群去台中、南投遊玩，放鬆這陣子緊繃的心情。

5.完整新聞連結 (或短網址):



6.備註:

初選都結束了

白海豚還在搞背後亂放話亂捅刀哦

正常倫真慘

--
 ","Wed Jul 17 17:29:06 2019 ","噓 推 →  "
"Re: [問卦] 是不是有人惹咪妃森77？ ","
我覺得酸民真的很無聊

兩個人會分開一定有原因

都那麼有錢，那就不是錢的問題

胖為何要減肥，一定是不夠深入的交談

才會造成誤會啊，不是都知道嗎？

--
 ","Wed Jul 17 17:29:25 2019 ","→ → 推 → → → 推 → → → 推 → →  "
"[問卦] 卡普空手遊TEPPEN出現國旗何時會縮？ ","
就是呀！

卡普空的新手遊TEPPEN，最近本宅載來玩，

玩完教學之後在創建名稱及地區，

赫然發現了中華民國國旗，

地區還顯示台灣，



這不就是大喇喇的傷害大中國人民的情感，

卡普空484要被抵制了，

不過有鑑於之前在快打旋風5有出現一樣的事情，

卡普空為了9月的魔物獵人銷量，

何時會龜縮呢？有沒有卦？


--


可是好像已經快2個禮拜惹
 ","Wed Jul 17 17:29:45 2019 ","→ 推 → 推 →  "
"[問卦] 女女出遊=好閨密 男男出遊=好基友 ? ","
台灣的社會 是不是有一個獨特的現象

兩個女生一起出遊 = 好閨密
手牽手也沒關係

兩個男生一起出遊 = 常被說成好基友(gay)
(兩個直男牽手我不行)

有些男生 同性朋友就少得可憐 更別說異性朋友
出遊也只能找少得可憐的朋友 好朋友


女女出遊=好閨密 男男出遊=好基友?

這是一種歧視嗎?

--
基友是香港粵語吧 而且早在97回歸之前就有了
 ","Wed Jul 17 17:30:08 2019 ","推 推 → 推 推 → 噓 → → → 推 推 →  "
"[問卦] 為什麼精液要叫做子孫而不是兒子 ","
如題

常常看到有人說精液子孫

但一個人的精液明明就只會製造出他兒子

為什麼要叫做子孫

而不是兒子

睪丸484也該叫兒子袋

而不是子孫袋

有沒有卦

--
 ","Wed Jul 17 17:30:10 2019 ","噓 噓 噓 噓 噓 → → 推 → 推 推 → 推 → → → → → 推 → 噓 推 → → →  "
"Re: [新聞] 天庭也在酸宗痛 鄭成功凍蒜玉皇大天尊 ","

看完這新聞不由得冒出很多疑問

既然選玉帝就像選總統一樣

那應該也是有多位參選人吧

有點好奇其他落選的神明是誰

還有鄭成功是提出什麼政見才當選的

其他參選的神明又是為何落選

得票情況是怎樣

還有最重要的

玉帝不能連選連任嗎?

關老爺退位後，那其他玉帝廟要怎麼處理前玉帝的神像?

內閣會改組嗎?

月老換人當 宅宅們會不會比較有機會脫離單身

總之有好多疑惑啊


--
 ","Wed Jul 17 17:30:59 2019 ","→ 推 推 → → →  "
"[問卦] 什麼人才有辦法在公車上閱讀 ","

肥宅我出車禍
這幾天車子在修理啦

沒辦法啊只好搭公車去打工
想說不浪費時間
要在車上看一點書

結果書都還不用拿出來
車子的震動就夠我暈死了
連拿手機出來看都沒辦法

到底要怎樣天賦異稟的人才可以在公車上閱讀啊
有沒有相關八卦

--
 ","Wed Jul 17 17:31:34 2019 ","→ 噓 噓 推 → → 推 → 推 推 → 推 → →  "
"[問卦] 有沒有很多人愛做化療的八卦?  ","
癌症到了後期都必需化療

可是目前化療的效果很差


還有很多副作用 又貴

要殺死一個癌細胞要同時殺死一堆正常細胞


就算如此

為什麼還是一堆人做化療


放著不管不是比較好？有沒有八卦?

--
 ","Wed Jul 17 17:31:57 2019 ","→ 推 推 → → → 推 噓 推 → → → 推 → → → 推 → → 噓 → → 噓 → 噓 → 推 → → 推 → 推 → → 推 噓 噓 推 →  "
"[新聞] 恐怖喔 丹娜絲颱風最複雜的劇本發生了 ","



中時

中時電子報 張達智

恐怖喔 丹娜絲颱風最複雜的劇本發生了

輕度颱風「丹娜絲」（DANAS）恐襲台，氣象局已在今天（17日）11時30分發布陸上颱風警報。不過更需要注意的是，丹娜絲颱風最複雜的劇本發生了！《台灣颱風論壇｜天氣特急》臉書粉專提醒，目前南海有一個新低壓正在發展，除了預測丹娜絲會撞過來之外，很可能會連帶把這個低壓一同拉進台灣，一旦發生，「明後天中南部的雨況，就會不太妙」！

結果最複雜的劇本還是發生了」，《台灣颱風論壇｜天氣特急》上午發文指出，丹娜絲受到菲律賓陸地摧殘，颱風結構嚴重分離，現在的主中心，形同是只剩空殼的颱風（但還是颱風，別輕忽）。

此刻最新的重點，要擺在南海發展起來的新低壓。最新的預測，除了丹娜絲本身預測還是會撞過來之外，很可能會連帶把南海的低壓，一同拉進台灣，「一旦發生，明後天中南部的雨況，就會不太妙」。


《台灣颱風論壇｜天氣特急》表示，最糟的情況會是：南海低壓自己獨立發展，變成另一個新的熱低，甚至颱風。此刻，已經有部分電腦數值報出這個可能。

這個新的南海低壓，其實就是原本要「取代」現在丹娜絲颱風中心的，但丹娜絲的主中心雖然飽受摧殘，還是勉強挺住了。南海低壓沒得取代，乾脆就自己發展。

那麼，這個南海低壓會怎麼走？《台灣颱風論壇｜天氣特急》指出：「高壓的導引氣流還是很明確，加上丹娜絲把它往北拉，南海低壓無論未來發展如何，往台灣過來機率，很高。」，「而南海低壓一旦接近，一定是挾著大量豪雨過來，中南部、花東一帶，會是降雨熱區，千萬不要輕忽了，以上提醒。」



--
 ","Wed Jul 17 17:32:04 2019 ","噓 → → 噓 推 → 噓 噓 推 → 噓 → → 推 → 噓 噓 噓 噓 推 噓 推 → → 推 推 → 推 噓 推 噓 推 噓 噓 推 噓 推 推 噓 噓 推 噓 → → 推 噓 噓 推 噓 噓  "
"[問卦] 撿到不會飛的小麻雀 ","
回家的時候在車庫邊看到一隻不會飛的小麻雀
看了看附近也沒樹沒鳥巢
怕附近的車子會不注意壓傷它
所以先把他放在紙箱裡
請問該如何處置？
要餵它些什麼東西吃？





別三杯啦
--
 ","Wed Jul 17 17:32:05 2019 ","噓 推 → → → → 噓 噓 推 → → 推 → → 推 推 → → → → 推 → 推 推 推 → 推 → 推 推 推 → →  "
"Re: [新聞] 曾說韓國瑜書讀很多　柯文哲：只夠做北農 ","


   柯這人真的很可憐 現在就已經沒有他可以選的餘地了

   明明好好做好市政就好 看到大家在熱鬧還要湊上去

   就像下課後的邊緣肥宅 看到大家在聊天硬要過去插一句話

   結果講出來的話沒梗還讓自己看起來很蠢 還不如默默讀好書

   這種不會做門面的人怎可能讓他當總統 頂多行政院長

   但是偏偏藍綠都不會讓他當行政院長 所以他也只能自己選

   只能說他嘴砲真的不行 想出來的梗都不貼近大眾

   每次看到他在新聞畫面真的想叫他閉嘴

   他以為記者真的是想訪問他? 根本每個都在等他講笑話

   反正他就是想講一些好像很厲害的話 把自己弄得像小丑

   可以氣走這麼多人他也是厲害 死性不改就是那樣

   當然他應該是贏過90%政治人物 一直當北市長也不錯

   偏偏他要把自己弄得跟韓國瑜一樣噁心 都在蹭人氣



--
   一個垃圾 整天就是你不要惹我不然我毀掉你
   他出來選韓國瑜就上了 這種心態要不得
   至少他貪汙絕緣體 有他在大家都不用貪
   這點也是噁到不行 不講話很難嗎?
   他出來選就大家一起死一死 他會不知道? 很好玩嗎?
   要玩也要有個限度吧 就已經差不多了還在那邊屁話
   一言不合就參選?
   我也不想投綠色 我高雄都投蘇盈貴了 反正韓要當市長給他當沒差
   總統不能鬧
   民進黨智障阿 所以今天柯文哲也要一起智障嗎?
 ","Wed Jul 17 17:32:12 2019 ","推 → 噓 推 → → 推 推 → 噓 推 推 推 推 → 推 → 推 推 → 噓 → → → 噓 推 推 → → → → 推 推 推 推 噓 → 推 推 推 → 噓 → → 噓 → 噓 → → → 噓 → 噓 → → 推 推  "
"[問卦] 台灣現在是中國史上的哪一個朝代啊？ ","

大家都說台灣現在很亂

剛好中國史上有一堆朝代末期也是很亂 剛好可以拿來譬喻台灣

那你各位覺得依照台灣的狀況 台灣目前是中國史的哪一個朝代?

有沒有八卦?

--
 ","Wed Jul 17 17:33:09 2019 ","→ → 推 噓 推 → → → → 推 → 噓 推 推 → → 噓 → → → 推 推 → 推 推 → → → 推 噓 推 → → → → → → → → → →  "
"[新聞] 上任首遇第一個颱風來襲！韓國瑜喊話零損 ","


記者林恩如／高雄報導

今年第5號颱風「丹娜絲（Danas）」16日晚間11時30分發佈海上颱風警報，中央氣象局於
今（17日）上午11時30分發布陸上警報，丹娜絲路徑可能直接撲向台灣，下午起花東地區
將出現明顯雨勢，影響台灣最大時間為18、19日，氣象局也預估，暴風圈18日清晨將碰到
台東、屏東陸地。如今颱風逼近，韓市府如臨大敵，韓國瑜表示，自己心裡壓力很大，但
一定要把工作做好。

氣象局上午11時30分發布丹娜絲陸上警報，才剛從國民黨初選民調勝出的韓國瑜，面對上
任後第一個颱風，各界都在關注韓市府反應，就怕防颱不利引發批評。對此，韓國瑜表示
，嚴正以待這次颱風，一定要求所屬的所有鄉鎮、市民、朋友，大家一起來這個群策群力
，希望一切平安順利，已和軍方相關指揮單位聯繫，軍方會準備一百多個人隨時投入救災
工作。

針對去年林園地區淹水災情慘重，韓國瑜說，自己再三強調，希望今年的第一個就任以來
，第一個颱風能夠做到，那各區區長已經一個個下達的命令，「我想透過這樣
子整個網把他張開，來做個防護網比什麼都重要」。

另外，韓國瑜先前動用第二預備金花了6千多萬清淤，未料卻在間歇性大雨過後，被列為
重點清淤地段的神農路又再次淹水，面對即將來襲的丹娜絲，水利局局長李戎威16日前往
該路段箱涵內視察，除了清淤外，水利局也在下方雨水下水道增加沙包擋水，提早分流，
避免水集中在同一處造成淹水。



備註：

豪情壯志韓市長

高雄市颱風零損害

請颱風不要卡韓

如果高雄市有損害就是卡韓

--
                                  07/17 17:39
 ","Wed Jul 17 17:34:30 2019 ","→ → 推 → → 噓 → → 噓 噓 → 噓 噓 推 推 → → 噓 → 噓 噓 噓 噓 推 推 推 噓 噓 噓 推 → 噓 → 噓 → 推 → → → 噓 推 噓 推 推 推 噓 → → → 噓 推 → 噓 → 噓 → 噓 → → → 推 噓 → 推 噓 → → 推 → 噓 噓 噓 噓 → 噓 噓 噓 → → 噓 推 噓 噓 噓 → 噓 噓 噓 → 噓 噓 噓 噓 噓 → 噓 噓 → 噓 → 噓 → 推 → 噓 噓 噓 噓 → 噓 → 噓  "
"[問卦] 蟑螂生一窩大概要多久？ ","
奶題，我台南南佳也，綽號大屌城武啦~
請不要羨慕我越南女碰油有四個
人帥屌粗沒辦法，不豪意思啦

那個齁，前幾個個禮拜，朋友餐廳裡大掃除

水煙殺蟲劑噴一堆，結果掃一掃
蟑螂死了有750隻耶

最近他說桌子上又開始一堆蟑螂屎了
都在特定的地方拉屎

蟑螂生一窩怎麼那摩快啊？好恐怖啊

有蟑螂怎摩都殺不完的掛嗎？城武怕怕 >  _<

--
 ","Wed Jul 17 17:35:14 2019 ","噓 推 推 → 推 → → → → 推 推 推 推 推 推 推 → → 推 噓 推 推 推 →  "
"[新聞] 國民黨中常會核備韓國瑜總統提名案 刪除 ","
國民黨中常會核備韓國瑜總統提名案 刪除「總統兼黨魁」條款

自由
2019-07-17 16:11

〔記者施曉光／台北報導〕配合28日將召開全代會，國民黨中常會今天下午通過核備高雄
市長韓國瑜為總統選舉被名人，將送全代會正式通過，另黨章研修小組建議、增加5席由黨籍直轄市與縣市長擔任的指定中常委等黨章修正案，
提報全代會公決。

此外，今日中常會還通過第九梯次立委選舉三個選區的徵召或提名名單，分別為

有關黨章修正案內容，包括刪除現行黨章規定黨籍總統當然兼任黨魁的條文，未來總統如
果要擔任黨魁，將透過選舉，也就是回歸過去規定，藉此，而必須配合辭去黨魁，或如果黨籍總統請辭黨魁，又必須辦理
黨魁補選。

此外，國民黨還要將現行黨章規定由黨魁指定青年團團長、青工會會長以及5位黨籍政務
官擔任的「指定中常委」名額，再擴增5個，由黨魁指定黨籍直轄市、縣市長擔任，中常
委席次總數將由目前的39席，擴大為44席。



------
嘻嘻 伏筆埋好了

--
 ","Wed Jul 17 17:35:42 2019 ","→ 噓 推 推 → → 推 → 推 → 推 → → → 推 → → → → → 推 → → 推 → 噓  "
